cohort,module,stratum,metric,point_estimate,valid_replicates,bootstrap_mean,bootstrap_sd,ci_low,bootstrap_median,ci_high
ELSA,recovery_phase,sustained_vs_early_modification,log_hazard_ratio,-0.0316845170556994,500,-0.037411068297446,0.131196837188735,-0.293453123478171,-0.0372010125522769,0.232691722636501
ELSA,recovery_phase,sustained_vs_early_modification,model_se,0.114244200473696,500,0.143824024568489,0.00233734027513165,0.139339641241169,0.143812059709112,0.148289616547409
HRS,recovery_phase,early_recovery,hazard_ratio,1.3764166846055,500,1.38590482234262,0.0877201262709298,1.2158463374139,1.38652132085499,1.55704588463221
HRS,recovery_phase,early_recovery,log_hazard_ratio,0.31948351678395,500,0.324351079176472,0.0633979690865835,0.195439337500247,0.326797954132943,0.442790289862189
HRS,recovery_phase,early_recovery,model_se,0.0518704525293875,500,0.065419982784921,0.00119138041464264,0.0631510977446948,0.0653807821916293,0.0677242324544693
HRS,recovery_phase,sustained_recovery,hazard_ratio,1.29144296889834,500,1.28744167842851,0.0936027432121935,1.11051219142109,1.28529339389249,1.47758371392489
HRS,recovery_phase,sustained_recovery,log_hazard_ratio,0.255760173769855,500,0.250010983859832,0.0729360484508834,0.104816691243193,0.250987012993585,0.390401564416192
HRS,recovery_phase,sustained_recovery,model_se,0.0512859052967292,500,0.0644545903975524,0.00109351073151075,0.0623975851999949,0.0644465049881812,0.0667126996049443
HRS,recovery_phase,sustained_vs_early_modification,hazard_ratio,0.938264541066997,500,0.933005803510419,0.0934660326664651,0.758584269417048,0.92562103904584,1.13163626768036
HRS,recovery_phase,sustained_vs_early_modification,log_hazard_ratio,-0.0637233430140954,500,-0.0743400953166403,0.100135902275505,-0.276318173522766,-0.0772903972704074,0.123664457704483
HRS,recovery_phase,sustained_vs_early_modification,model_se,0.0723168883094106,500,0.0910667344179868,0.00116393776847029,0.0887722053855908,0.0910481210101316,0.0935293055551969
MHAS,recovery_phase,early_recovery,hazard_ratio,0.982989327197532,500,0.994656430516077,0.197382217864587,0.677795667877099,0.969289014650997,1.43348091702316
MHAS,recovery_phase,early_recovery,log_hazard_ratio,-0.0171570162718049,500,-0.0243963884210172,0.194620420358561,-0.389025778571958,-0.0311924565927374,0.360101718251946
MHAS,recovery_phase,early_recovery,model_se,0.117611882215819,500,0.15032980003059,0.0075138670907257,0.137146680036356,0.149262097039535,0.167460010015595
MHAS,recovery_phase,sustained_recovery,hazard_ratio,0.757380084271611,500,0.790119222829086,0.268240877905942,0.420845625793359,0.73343794290698,1.37153128468586
MHAS,recovery_phase,sustained_recovery,log_hazard_ratio,-0.277890058722039,500,-0.288518499576474,0.322908244527219,-0.86549669054793,-0.310013725596202,0.315926908714756
MHAS,recovery_phase,sustained_recovery,model_se,0.169864233964314,500,0.219309583267522,0.0153530778473903,0.193100609124766,0.218357221376116,0.250692682160139
MHAS,recovery_phase,sustained_vs_early_modification,hazard_ratio,0.770486579372002,500,0.824879270203791,0.327229572622039,0.361847447328134,0.763960845167527,1.64835621501727
MHAS,recovery_phase,sustained_vs_early_modification,log_hazard_ratio,-0.260733042450235,500,-0.264122111155457,0.376423177307544,-1.01661723100006,-0.269246592148157,0.499764086792655
MHAS,recovery_phase,sustained_vs_early_modification,model_se,0.206336349535762,500,0.265862709595638,0.0134084958932243,0.242857474161683,0.265699491203813,0.293857554629395
CHARLS,wealth_by_sex,female,contribution_onset,-1.669276962436,496,-1.6298339042245,0.36552170844149,-2.36955848147979,-1.63083439927018,-0.893723276110519
CHARLS,wealth_by_sex,female,contribution_post_disability_mortality,-0.4732883064378,496,-0.503445681796256,0.275162955153941,-1.0520529478893,-0.484586930373822,0.00665554043613661
CHARLS,wealth_by_sex,female,contribution_pre_disability_mortality,0.058798653019008,496,0.0467019288029549,0.120035331446309,-0.178580093297979,0.0426044190441536,0.307717492457208
CHARLS,wealth_by_sex,female,contribution_recovery,-0.959594339632337,496,-0.976317766720454,0.369169843079059,-1.74352353643443,-0.99203698516779,-0.202350750051228
CHARLS,wealth_by_sex,female,contribution_relapse,0.105706806114306,496,0.103436464279422,0.40272203470603,-0.695098685941904,0.108280989102547,0.888755685424818
CHARLS,wealth_by_sex,female,gap_dfle,-2.93765414937282,496,-2.95945895965883,0.633935522101869,-4.25489068199406,-2.96086475001028,-1.66551181489182
CHARLS,wealth_by_sex,female,high_dfle,16.586375826847,496,16.6447629206333,0.634420348252742,15.4342659677737,16.5999376792377,17.9510613217442
CHARLS,wealth_by_sex,female,low_dfle,13.6487216774742,496,13.6853039609745,0.485654501401967,12.7754536540063,13.6693281631957,14.7281015047916
CHARLS,wealth_by_sex,female,recovery_relapse_contribution,-0.853887533518031,496,-0.872881302441032,0.498595604497578,-1.88767727743819,-0.875206790186818,0.204265016420428
CHARLS,wealth_by_sex,female,recovery_relapse_percent,29.0669864490458,496,27.8990816769296,14.6755607082841,-11.2180725537331,29.0425364507875,54.1795434742166
CHARLS,wealth_by_sex,female_minus_male,contribution_onset,1.1187660749701,496,1.11777480982747,0.563371580433118,-0.0791921675772473,1.0888351723135,2.27306305236673
CHARLS,wealth_by_sex,female_minus_male,contribution_post_disability_mortality,-0.160923585697443,496,-0.163883076306879,0.413183209674949,-1.04510816529442,-0.141897379828191,0.663559970009094
CHARLS,wealth_by_sex,female_minus_male,contribution_pre_disability_mortality,0.322964880383631,496,0.290248072192905,0.312667121385522,-0.327684775744517,0.306501546224256,0.963869482877666
CHARLS,wealth_by_sex,female_minus_male,contribution_recovery,-0.128795428291207,496,-0.117733397623764,0.481858036125701,-1.0028561775058,-0.0981417542925704,0.811207644345942
