sensitivity,cohort,exposure,ses,V5
pre_pandemic_end_before_2020,CHARLS,education,low,0.000133292387361012
pre_pandemic_end_before_2020,CHARLS,wealth,high,11.2448501877037
pre_pandemic_end_before_2020,CHARLS,wealth,high,10.4834671938859
pre_pandemic_end_before_2020,CHARLS,wealth,high,0.761382993817843
pre_pandemic_end_before_2020,CHARLS,wealth,high,0.0032071002953628
pre_pandemic_end_before_2020,CHARLS,wealth,low,8.24760783001686
pre_pandemic_end_before_2020,CHARLS,wealth,low,7.40714660493782
pre_pandemic_end_before_2020,CHARLS,wealth,low,0.840461225079041
pre_pandemic_end_before_2020,CHARLS,wealth,low,0.000125120885641886
pre_pandemic_end_before_2020,ELSA,education,high,27.0003031826378
pre_pandemic_end_before_2020,ELSA,education,high,21.3011488851066
pre_pandemic_end_before_2020,ELSA,education,high,5.69915429753113
pre_pandemic_end_before_2020,ELSA,education,high,0.0595538890997994
pre_pandemic_end_before_2020,ELSA,education,low,23.7513347908818
pre_pandemic_end_before_2020,ELSA,education,low,16.8731813652245
pre_pandemic_end_before_2020,ELSA,education,low,6.87815342565735
pre_pandemic_end_before_2020,ELSA,education,low,0.0128380102088542
pre_pandemic_end_before_2020,ELSA,wealth,high,27.0981884978347
pre_pandemic_end_before_2020,ELSA,wealth,high,21.0728906742913
pre_pandemic_end_before_2020,ELSA,wealth,high,6.02529782354345
pre_pandemic_end_before_2020,ELSA,wealth,high,0.0568426596298072
pre_pandemic_end_before_2020,ELSA,wealth,low,22.5689904837214
pre_pandemic_end_before_2020,ELSA,wealth,low,15.3955924403202
pre_pandemic_end_before_2020,ELSA,wealth,low,7.17339804340114
pre_pandemic_end_before_2020,ELSA,wealth,low,0.00485767182514166
pre_pandemic_end_before_2020,HRS,education,high,1.6454104893854
pre_pandemic_end_before_2020,HRS,education,high,1.61458666722996
pre_pandemic_end_before_2020,HRS,education,high,0.030823822155437
pre_pandemic_end_before_2020,HRS,education,high,2.55778308688168e-68
pre_pandemic_end_before_2020,HRS,education,low,1.07604771399124
pre_pandemic_end_before_2020,HRS,education,low,1.04192902680796
pre_pandemic_end_before_2020,HRS,education,low,0.0341186871832789
pre_pandemic_end_before_2020,HRS,education,low,7.44266372995617e-83
pre_pandemic_end_before_2020,HRS,wealth,high,1.31562029985442
pre_pandemic_end_before_2020,HRS,wealth,high,1.29209000975257
pre_pandemic_end_before_2020,HRS,wealth,high,0.023530290101852
pre_pandemic_end_before_2020,HRS,wealth,high,9.3094674195046e-77
pre_pandemic_end_before_2020,HRS,wealth,low,0.826648768056376
pre_pandemic_end_before_2020,HRS,wealth,low,0.803355547301567
pre_pandemic_end_before_2020,HRS,wealth,low,0.0232932207548087
pre_pandemic_end_before_2020,HRS,wealth,low,9.3114572659551e-93
pre_pandemic_end_before_2020,MHAS,education,high,1.64480227964355
pre_pandemic_end_before_2020,MHAS,education,high,1.6207071176758
pre_pandemic_end_before_2020,MHAS,education,high,0.0240951619677534
pre_pandemic_end_before_2020,MHAS,education,high,7.23157760686832e-61
pre_pandemic_end_before_2020,MHAS,education,low,1.98066541675288
pre_pandemic_end_before_2020,MHAS,education,low,1.90475232588394
pre_pandemic_end_before_2020,MHAS,education,low,0.0759130908689432
pre_pandemic_end_before_2020,MHAS,education,low,1.86380995330672e-55
pre_pandemic_end_before_2020,MHAS,wealth,high,1.69087174007979
pre_pandemic_end_before_2020,MHAS,wealth,high,1.64060491222742
pre_pandemic_end_before_2020,MHAS,wealth,high,0.0502668278523725
pre_pandemic_end_before_2020,MHAS,wealth,high,8.68210783170543e-58
pre_pandemic_end_before_2020,MHAS,wealth,low,1.39078690877468
pre_pandemic_end_before_2020,MHAS,wealth,low,1.33864069403963
pre_pandemic_end_before_2020,MHAS,wealth,low,0.0521462147350445
pre_pandemic_end_before_2020,MHAS,wealth,low,6.25838499503903e-65
