cohort,exposure,process,rows,persons,events,low_rows,low_events,high_rows,high_events,converged,iterations,coefficient_abs_max,warning_n,warnings,sensitivity
MHAS,education,relapse,2232,1619,748,2093,714,93,23,TRUE,17,20.5032878032785,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
MHAS,wealth,death_post,9346,5443,1235,2945,406,3081,381,TRUE,7,4.00028794419877,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
MHAS,wealth,death_pre,20485,11612,1000,5573,288,7864,345,TRUE,7,5.5508693522065,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
MHAS,wealth,onset,17884,10354,2399,4903,736,6813,824,TRUE,17,16.7534490812728,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
MHAS,wealth,recovery,5793,4242,1913,1856,618,1871,625,TRUE,17,18.0511055746583,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
MHAS,wealth,relapse,2239,1625,750,735,259,714,247,TRUE,17,20.0212138256272,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
CHARLS,education,death_post,10753,5670,1047,10365,1011,89,12,TRUE,14,11.5570166194354,2,non-integer #successes in a binomial glm! | glm.fit: fitted probabilities numerically 0 or 1 occurred,exclude_pandemic_crossing
CHARLS,education,death_pre,12598,6813,418,11451,393,293,8,TRUE,14,7.33075081996724,2,non-integer #successes in a binomial glm! | glm.fit: fitted probabilities numerically 0 or 1 occurred,exclude_pandemic_crossing
CHARLS,education,onset,12255,6622,2492,11159,2379,279,30,TRUE,12,11.5469547370377,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
CHARLS,education,recovery,8039,5150,2587,7748,2478,68,27,TRUE,14,13.6517791773244,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
CHARLS,education,relapse,2393,1912,912,2308,887,16,5,TRUE,13,13.9758937373697,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
CHARLS,wealth,death_post,8137,4152,215,3770,110,1667,46,TRUE,22,52.3468093596525,2,non-integer #successes in a binomial glm! | glm.fit: fitted probabilities numerically 0 or 1 occurred,exclude_pandemic_crossing
CHARLS,wealth,death_pre,10441,5383,116,3385,37,3497,40,TRUE,23,28.8172423196148,2,non-integer #successes in a binomial glm! | glm.fit: fitted probabilities numerically 0 or 1 occurred,exclude_pandemic_crossing
CHARLS,wealth,onset,10238,5285,2005,3327,855,3419,481,TRUE,13,12.7926128072483,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
CHARLS,wealth,recovery,5904,3773,2188,2775,943,1186,504,TRUE,14,14.0411190303984,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
CHARLS,wealth,relapse,2066,1639,803,906,383,453,152,TRUE,13,14.1952516218236,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
ELSA,education,death_post,9994,4069,966,5696,645,807,62,TRUE,6,3.64837728784793,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
ELSA,education,death_pre,18095,6978,489,7201,278,2764,52,TRUE,7,5.10193202147298,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
ELSA,education,onset,29547,8451,2582,9475,1155,5685,314,TRUE,6,3.54450763896181,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
ELSA,education,recovery,11013,4882,2970,5917,1353,992,330,TRUE,5,2.72239007383141,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
ELSA,education,relapse,5545,2405,1643,2183,785,733,158,TRUE,6,1.87607246146275,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
ELSA,wealth,death_post,11023,4448,1044,4385,514,2949,229,TRUE,6,3.80081611077411,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
