cohort,exposure,process,term,estimate,hazard_ratio,sensitivity
ELSA,education,onset,(Intercept),-3.50078744739833,0.0301736139311465,primary_reproduction
ELSA,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.25325350320344,3.50171729263965,primary_reproduction
ELSA,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.37112918132904,3.93979692982902,primary_reproduction
ELSA,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",2.35173766059599,10.5038059256399,primary_reproduction
ELSA,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",2.42453111971958,11.2969312689762,primary_reproduction
ELSA,education,onset,period_factor10,-0.380718885350713,0.683369967929489,primary_reproduction
ELSA,education,onset,period_factor2,-0.20211204567516,0.817003381118174,primary_reproduction
ELSA,education,onset,period_factor3,-0.238722626496719,0.787633320690248,primary_reproduction
ELSA,education,onset,period_factor4,-0.250614406092325,0.778322430092119,primary_reproduction
ELSA,education,onset,period_factor5,-0.362600289103636,0.695864522549837,primary_reproduction
ELSA,education,onset,period_factor6,-0.483501528387312,0.61662049312958,primary_reproduction
ELSA,education,onset,period_factor7,-0.433755592888871,0.648070629201022,primary_reproduction
ELSA,education,onset,period_factor8,-0.621434471158349,0.537173325015755,primary_reproduction
ELSA,education,onset,period_factor9,-0.811080676427215,0.444377578270082,primary_reproduction
ELSA,education,onset,proxy_factorself,-0.0529227529585864,0.948453274862013,primary_reproduction
ELSA,education,onset,seslow,0.466704246436247,1.59472968667643,primary_reproduction
ELSA,education,onset,sesmiddle,0.266875848628059,1.30587830968238,primary_reproduction
ELSA,education,onset,sex_factormale,-0.0656220005343773,0.936484788145374,primary_reproduction
ELSA,education,recovery,(Intercept),-2.70353481897193,0.066968372788619,primary_reproduction
ELSA,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",-0.232782838564777,0.792325617411231,primary_reproduction
ELSA,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",-0.870196925964171,0.418869054932765,primary_reproduction
ELSA,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",-2.24292710798035,0.106147344463012,primary_reproduction
ELSA,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",-2.44929556365907,0.0863543962534755,primary_reproduction
ELSA,education,recovery,origin_factorD2,0.0835508638627611,1.08714051005232,primary_reproduction
ELSA,education,recovery,period_factor10,0.362991041661581,1.43762298047035,primary_reproduction
ELSA,education,recovery,period_factor2,0.286207179199075,1.33136825849043,primary_reproduction
ELSA,education,recovery,period_factor3,0.0589297494896106,1.06070072335556,primary_reproduction
ELSA,education,recovery,period_factor4,0.147758806522615,1.15923326313964,primary_reproduction
ELSA,education,recovery,period_factor5,0.274990291699241,1.31651789365391,primary_reproduction
ELSA,education,recovery,period_factor6,0.384451071717498,1.46880782994898,primary_reproduction
ELSA,education,recovery,period_factor7,0.308321396876373,1.36113838426965,primary_reproduction
ELSA,education,recovery,period_factor8,0.200178263372823,1.22162050894333,primary_reproduction
ELSA,education,recovery,period_factor9,-0.420818392020734,0.656509317914105,primary_reproduction
ELSA,education,recovery,proxy_factorself,1.12319121009706,3.07465041955112,primary_reproduction
ELSA,education,recovery,seslow,-0.363477717440832,0.695254219086834,primary_reproduction
ELSA,education,recovery,sesmiddle,-0.100603003458704,0.90429196241566,primary_reproduction
ELSA,education,recovery,sex_factormale,-0.0203020311511493,0.979902667476842,primary_reproduction
ELSA,education,relapse,(Intercept),-1.89692847989122,0.150028728499937,primary_reproduction
ELSA,education,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",0.485423338544098,1.62486273028706,primary_reproduction
ELSA,education,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",0.756291125339447,2.13036031063821,primary_reproduction
ELSA,education,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",1.54455109195131,4.68586763111229,primary_reproduction
ELSA,education,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",1.53697533846774,4.65050277991793,primary_reproduction
ELSA,education,relapse,period_factor10,-0.364856171032401,0.694296503646274,primary_reproduction
ELSA,education,relapse,period_factor3,-0.278993668934546,0.756544692933855,primary_reproduction
ELSA,education,relapse,period_factor4,-0.263464098480623,0.768385208140481,primary_reproduction
ELSA,education,relapse,period_factor5,-0.294154836161637,0.745161104625252,primary_reproduction
ELSA,education,relapse,period_factor6,-0.36017013171093,0.697557639300479,primary_reproduction
ELSA,education,relapse,period_factor7,-0.418104373038891,0.658293516744241,primary_reproduction
ELSA,education,relapse,period_factor8,-0.37419237061105,0.687844578019039,primary_reproduction
ELSA,education,relapse,period_factor9,-0.625387944647537,0.535053816986259,primary_reproduction
ELSA,education,relapse,proxy_factorself,-0.158839166609142,0.853133560298916,primary_reproduction
ELSA,education,relapse,seslow,0.509551746517192,1.66454488964733,primary_reproduction
ELSA,education,relapse,sesmiddle,0.24292864866436,1.27497764951471,primary_reproduction
ELSA,education,relapse,sex_factormale,-0.0339232547042223,0.966645687300069,primary_reproduction
ELSA,wealth,death_post,(Intercept),-3.80081611077411,0.022352522276081,primary_reproduction
ELSA,wealth,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.62721078370185,5.08965874291985,primary_reproduction
ELSA,wealth,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.96957143608952,7.16760405360431,primary_reproduction
ELSA,wealth,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",3.59098293592293,36.2697092110874,primary_reproduction
ELSA,wealth,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",2.97212474394377,19.5333789638181,primary_reproduction
ELSA,wealth,death_post,origin_factorD2,-0.027881883510319,0.972503228685148,primary_reproduction
ELSA,wealth,death_post,origin_factorR1,-0.493984894673098,0.610190000140491,primary_reproduction
ELSA,wealth,death_post,period_factor2,-0.0676934539764174,0.93454691131131,primary_reproduction
ELSA,wealth,death_post,period_factor3,-0.106187673900785,0.899255865382306,primary_reproduction
ELSA,wealth,death_post,period_factor4,-0.033912315558193,0.966656261636238,primary_reproduction
ELSA,wealth,death_post,period_factor5,-0.295554859555712,0.744118591588025,primary_reproduction
ELSA,wealth,death_post,proxy_factorself,-0.832289849112964,0.435051941570331,primary_reproduction
ELSA,wealth,death_post,seslow,0.468156223420971,1.59704687932644,primary_reproduction
ELSA,wealth,death_post,sesmiddle,0.125763083520212,1.13401346997541,primary_reproduction
ELSA,wealth,death_post,sex_factormale,0.584595444994267,1.79426495991999,primary_reproduction
ELSA,wealth,death_pre,(Intercept),-5.09801817185331,0.00610884125029714,primary_reproduction
ELSA,wealth,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",2.11343761265522,8.27664433462175,primary_reproduction
ELSA,wealth,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",3.08634323376465,21.896859698204,primary_reproduction
ELSA,wealth,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",4.15083908309363,63.487249032267,primary_reproduction
ELSA,wealth,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",2.46555100899008,11.7699657224896,primary_reproduction
ELSA,wealth,death_pre,period_factor2,-0.0343844599851569,0.966199967996243,primary_reproduction
ELSA,wealth,death_pre,period_factor3,-0.165085590754096,0.847821135332042,primary_reproduction
ELSA,wealth,death_pre,period_factor4,-0.224778645527194,0.798692993460221,primary_reproduction
ELSA,wealth,death_pre,period_factor5,-0.708277908668407,0.492491583099955,primary_reproduction
ELSA,wealth,death_pre,proxy_factorself,-0.925559690575306,0.396309546272774,primary_reproduction
ELSA,wealth,death_pre,seslow,0.469124003628511,1.59859321782397,primary_reproduction
ELSA,wealth,death_pre,sesmiddle,0.297342033997933,1.34627569276604,primary_reproduction
ELSA,wealth,death_pre,sex_factormale,0.586047932466241,1.79687300091058,primary_reproduction
ELSA,wealth,onset,(Intercept),-3.43359991846235,0.0322705600331521,primary_reproduction
ELSA,wealth,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.23434801095096,3.43613746621405,primary_reproduction
ELSA,wealth,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.5643189336325,4.7794187258232,primary_reproduction
ELSA,wealth,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",2.20667379639621,9.08544603491808,primary_reproduction
ELSA,wealth,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",1.95865414174077,7.08977880393542,primary_reproduction
ELSA,wealth,onset,period_factor10,-0.405109699021898,0.666903648167706,primary_reproduction
ELSA,wealth,onset,period_factor2,-0.196380771083485,0.821699295771775,primary_reproduction
ELSA,wealth,onset,period_factor3,-0.253382867923738,0.77617065408109,primary_reproduction
ELSA,wealth,onset,period_factor4,-0.261000588392966,0.770280466387338,primary_reproduction
ELSA,wealth,onset,period_factor5,-0.373025655012638,0.688647565355335,primary_reproduction
ELSA,wealth,onset,period_factor6,-0.520242510889383,0.594376387744268,primary_reproduction
ELSA,wealth,onset,period_factor7,-0.451517701401488,0.636661156472991,primary_reproduction
ELSA,wealth,onset,period_factor8,-0.630590229630622,0.532277542296441,primary_reproduction
ELSA,wealth,onset,period_factor9,-0.786965543523538,0.455224059160467,primary_reproduction
ELSA,wealth,onset,proxy_factorself,-0.127091840923253,0.880652788917798,primary_reproduction
ELSA,wealth,onset,seslow,0.657215695655815,1.92941277633905,primary_reproduction
ELSA,wealth,onset,sesmiddle,0.339125174876443,1.40371904457389,primary_reproduction
ELSA,wealth,onset,sex_factormale,-0.0972900594089082,0.907292799149259,primary_reproduction
ELSA,wealth,recovery,(Intercept),-2.65432804766382,0.0703460920083195,primary_reproduction
ELSA,wealth,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",-0.390182216461913,0.676933514829402,primary_reproduction
ELSA,wealth,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",-0.906943916961715,0.403756253119908,primary_reproduction
ELSA,wealth,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",-2.58494110595686,0.0754005201118513,primary_reproduction
ELSA,wealth,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",-2.80353401903289,0.0605955379968407,primary_reproduction
ELSA,wealth,recovery,origin_factorD2,0.10309407399935,1.10859569420129,primary_reproduction
ELSA,wealth,recovery,period_factor10,0.454096073159711,1.57474928134695,primary_reproduction
ELSA,wealth,recovery,period_factor2,0.280933040511712,1.32436492216875,primary_reproduction
ELSA,wealth,recovery,period_factor3,0.0648866586405643,1.06703807798388,primary_reproduction
ELSA,wealth,recovery,period_factor4,0.152986627802216,1.16530939609083,primary_reproduction
ELSA,wealth,recovery,period_factor5,0.282189419054505,1.32602987152411,primary_reproduction
ELSA,wealth,recovery,period_factor6,0.413386650891664,1.51192950182266,primary_reproduction
ELSA,wealth,recovery,period_factor7,0.316063007608179,1.37171668149047,primary_reproduction
ELSA,wealth,recovery,period_factor8,0.245103388231208,1.27775341104118,primary_reproduction
ELSA,wealth,recovery,period_factor9,-0.344146050799948,0.708825395973118,primary_reproduction
ELSA,wealth,recovery,proxy_factorself,1.1442887571436,3.14020711251182,primary_reproduction
ELSA,wealth,recovery,seslow,-0.470680792286894,0.624576916363744,primary_reproduction
ELSA,wealth,recovery,sesmiddle,-0.204153897324445,0.815336883366549,primary_reproduction
ELSA,wealth,recovery,sex_factormale,0.00841389638544952,1.00844939269589,primary_reproduction
ELSA,wealth,relapse,(Intercept),-1.78162301400652,0.168364667184582,primary_reproduction
ELSA,wealth,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",0.645009310852068,1.90600477571781,primary_reproduction
