age,origin_state,destination,annual_probability,cohort,exposure,ses
73,R1,DEAD,0.0143285415782977,CHARLS,education,high
73,D2,DEAD,0.0186702501994502,CHARLS,education,high
73,DEAD,DEAD,1,CHARLS,education,high
74,I0,I0,0.930722704041629,CHARLS,education,high
74,D1,I0,0,CHARLS,education,high
74,R1,I0,0,CHARLS,education,high
74,D2,I0,0,CHARLS,education,high
74,DEAD,I0,0,CHARLS,education,high
74,I0,D1,0.0523655286097563,CHARLS,education,high
74,D1,D1,0.782630553356843,CHARLS,education,high
74,R1,D1,0,CHARLS,education,high
74,D2,D1,0,CHARLS,education,high
74,DEAD,D1,0,CHARLS,education,high
74,I0,R1,0,CHARLS,education,high
74,D1,R1,0.179150495860299,CHARLS,education,high
74,R1,R1,0.835957380318369,CHARLS,education,high
74,D2,R1,0.203163016227059,CHARLS,education,high
74,DEAD,R1,0,CHARLS,education,high
74,I0,D2,0,CHARLS,education,high
74,D1,D2,0,CHARLS,education,high
74,R1,D2,0.148242719644438,CHARLS,education,high
74,D2,D2,0.776052314513386,CHARLS,education,high
74,DEAD,D2,0,CHARLS,education,high
74,I0,DEAD,0.0169117673486148,CHARLS,education,high
74,D1,DEAD,0.0382189507828582,CHARLS,education,high
74,R1,DEAD,0.0157999000371925,CHARLS,education,high
74,D2,DEAD,0.0207846692595546,CHARLS,education,high
74,DEAD,DEAD,1,CHARLS,education,high
75,I0,I0,0.926940233574471,CHARLS,education,high
75,D1,I0,0,CHARLS,education,high
75,R1,I0,0,CHARLS,education,high
75,D2,I0,0,CHARLS,education,high
75,DEAD,I0,0,CHARLS,education,high
75,I0,D1,0.054892805740517,CHARLS,education,high
75,D1,D1,0.788727088929055,CHARLS,education,high
75,R1,D1,0,CHARLS,education,high
75,D2,D1,0,CHARLS,education,high
75,DEAD,D1,0,CHARLS,education,high
75,I0,R1,0,CHARLS,education,high
75,D1,R1,0.168727051165016,CHARLS,education,high
75,R1,R1,0.829256917778312,CHARLS,education,high
75,D2,R1,0.191696155085247,CHARLS,education,high
75,DEAD,R1,0,CHARLS,education,high
75,I0,D2,0,CHARLS,education,high
75,D1,D2,0,CHARLS,education,high
75,R1,D2,0.1532880203875,CHARLS,education,high
75,D2,D2,0.78512329620719,CHARLS,education,high
75,DEAD,D2,0,CHARLS,education,high
75,I0,DEAD,0.0181669606850118,CHARLS,education,high
75,D1,DEAD,0.0425458599059289,CHARLS,education,high
75,R1,DEAD,0.0174550618341885,CHARLS,education,high
75,D2,DEAD,0.0231805487075628,CHARLS,education,high
75,DEAD,DEAD,1,CHARLS,education,high
76,I0,I0,0.92296965019314,CHARLS,education,high
76,D1,I0,0,CHARLS,education,high
76,R1,I0,0,CHARLS,education,high
76,D2,I0,0,CHARLS,education,high
76,DEAD,I0,0,CHARLS,education,high
76,I0,D1,0.0575523028142959,CHARLS,education,high
76,D1,D1,0.794233668471497,CHARLS,education,high
76,R1,D1,0,CHARLS,education,high
76,D2,D1,0,CHARLS,education,high
76,DEAD,D1,0,CHARLS,education,high
76,I0,R1,0,CHARLS,education,high
76,D1,R1,0.158340248742891,CHARLS,education,high
76,R1,R1,0.822629488519617,CHARLS,education,high
76,D2,R1,0.180250418257409,CHARLS,education,high
76,DEAD,R1,0,CHARLS,education,high
76,I0,D2,0,CHARLS,education,high
76,D1,D2,0,CHARLS,education,high
76,R1,D2,0.158053386484119,CHARLS,education,high
76,D2,D2,0.793859111778258,CHARLS,education,high
76,DEAD,D2,0,CHARLS,education,high
76,I0,DEAD,0.0194780469925645,CHARLS,education,high
76,D1,DEAD,0.0474260827856126,CHARLS,education,high
76,R1,DEAD,0.0193171249962649,CHARLS,education,high
76,D2,DEAD,0.0258904699643339,CHARLS,education,high
76,DEAD,DEAD,1,CHARLS,education,high
77,I0,I0,0.918809965158705,CHARLS,education,high
77,D1,I0,0,CHARLS,education,high
77,R1,I0,0,CHARLS,education,high
77,D2,I0,0,CHARLS,education,high
77,DEAD,I0,0,CHARLS,education,high
77,I0,D1,0.060324416284696,CHARLS,education,high
77,D1,D1,0.799001050451223,CHARLS,education,high
77,R1,D1,0,CHARLS,education,high
77,D2,D1,0,CHARLS,education,high
77,DEAD,D1,0,CHARLS,education,high
77,I0,R1,0,CHARLS,education,high
77,D1,R1,0.148080626774576,CHARLS,education,high
77,R1,R1,0.816317523319346,CHARLS,education,high
77,D2,R1,0.168926352904775,CHARLS,education,high
77,DEAD,R1,0,CHARLS,education,high
77,I0,D2,0,CHARLS,education,high
77,D1,D2,0,CHARLS,education,high
77,R1,D2,0.16227014943408,CHARLS,education,high
77,D2,D2,0.802124021374556,CHARLS,education,high
77,DEAD,D2,0,CHARLS,education,high
77,I0,DEAD,0.0208656185565991,CHARLS,education,high
77,D1,DEAD,0.0529183227742008,CHARLS,education,high
77,R1,DEAD,0.0214123272465738,CHARLS,education,high
77,D2,DEAD,0.0289496257206686,CHARLS,education,high
77,DEAD,DEAD,1,CHARLS,education,high
78,I0,I0,0.914459333645756,CHARLS,education,high
78,D1,I0,0,CHARLS,education,high
78,R1,I0,0,CHARLS,education,high
78,D2,I0,0,CHARLS,education,high
78,DEAD,I0,0,CHARLS,education,high
78,I0,D1,0.0631847500331696,CHARLS,education,high
78,D1,D1,0.802887235864274,CHARLS,education,high
78,R1,D1,0,CHARLS,education,high
78,D2,D1,0,CHARLS,education,high
78,DEAD,D1,0,CHARLS,education,high
78,I0,R1,0,CHARLS,education,high
78,D1,R1,0.13802828436303,CHARLS,education,high
78,R1,R1,0.810577666586291,CHARLS,education,high
78,D2,R1,0.157813464092393,CHARLS,education,high
78,DEAD,R1,0,CHARLS,education,high
78,I0,D2,0,CHARLS,education,high
78,D1,D2,0,CHARLS,education,high
78,R1,D2,0.165651904930664,CHARLS,education,high
78,D2,D2,0.809790855974466,CHARLS,education,high
78,DEAD,D2,0,CHARLS,education,high
78,I0,DEAD,0.0223559163210744,CHARLS,education,high
78,D1,DEAD,0.0590844797726957,CHARLS,education,high
78,R1,DEAD,0.0237704284830456,CHARLS,education,high
78,D2,DEAD,0.0323956799331414,CHARLS,education,high
78,DEAD,DEAD,1,CHARLS,education,high
79,I0,I0,0.909914586849318,CHARLS,education,high
79,D1,I0,0,CHARLS,education,high
79,R1,I0,0,CHARLS,education,high
79,D2,I0,0,CHARLS,education,high
79,DEAD,I0,0,CHARLS,education,high
79,I0,D1,0.0661036378348255,CHARLS,education,high
79,D1,D1,0.805758630621486,CHARLS,education,high
79,R1,D1,0,CHARLS,education,high
79,D2,D1,0,CHARLS,education,high
79,DEAD,D1,0,CHARLS,education,high
79,I0,R1,0,CHARLS,education,high
79,D1,R1,0.128252436380474,CHARLS,education,high
79,R1,R1,0.805670102777868,CHARLS,education,high
79,D2,R1,0.146989590588495,CHARLS,education,high
79,DEAD,R1,0,CHARLS,education,high
79,I0,D2,0,CHARLS,education,high
79,D1,D2,0,CHARLS,education,high
79,R1,D2,0.167904854294727,CHARLS,education,high
79,D2,D2,0.816741893668279,CHARLS,education,high
79,DEAD,D2,0,CHARLS,education,high
79,I0,DEAD,0.0239817753158567,CHARLS,education,high
79,D1,DEAD,0.0659889329980397,CHARLS,education,high
79,R1,DEAD,0.0264250429274051,CHARLS,education,high
79,D2,DEAD,0.0362685157432257,CHARLS,education,high
79,DEAD,DEAD,1,CHARLS,education,high
80,I0,I0,0.905170281813584,CHARLS,education,high
80,D1,I0,0,CHARLS,education,high
80,R1,I0,0,CHARLS,education,high
80,D2,I0,0,CHARLS,education,high
80,DEAD,I0,0,CHARLS,education,high
80,I0,D1,0.0690457634463364,CHARLS,education,high
80,D1,D1,0.807491168229182,CHARLS,education,high
80,R1,D1,0,CHARLS,education,high
80,D2,D1,0,CHARLS,education,high
80,DEAD,D1,0,CHARLS,education,high
80,I0,R1,0,CHARLS,education,high
80,D1,R1,0.118811284050843,CHARLS,education,high
80,R1,R1,0.801844119371989,CHARLS,education,high
80,D2,R1,0.136520631418939,CHARLS,education,high
80,DEAD,R1,0,CHARLS,education,high
80,I0,D2,0,CHARLS,education,high
80,D1,D2,0,CHARLS,education,high
80,R1,D2,0.168742030674017,CHARLS,education,high
80,D2,D2,0.82286952130715,CHARLS,education,high
80,DEAD,D2,0,CHARLS,education,high
80,I0,DEAD,0.0257839547400791,CHARLS,education,high
80,D1,DEAD,0.0736975477199756,CHARLS,education,high
80,R1,DEAD,0.0294138499539941,CHARLS,education,high
80,D2,DEAD,0.0406098472739109,CHARLS,education,high
80,DEAD,DEAD,1,CHARLS,education,high
81,I0,I0,0.900229380136976,CHARLS,education,high
81,D1,I0,0,CHARLS,education,high
81,R1,I0,0,CHARLS,education,high
81,D2,I0,0,CHARLS,education,high
81,DEAD,I0,0,CHARLS,education,high
81,I0,D1,0.0719696029372194,CHARLS,education,high
81,D1,D1,0.808015210304557,CHARLS,education,high
81,R1,D1,0,CHARLS,education,high
