cohort,metric,point_estimate,household_ci_low,household_ci_high,household_bootstrap_sd,psu_bootstrap_mean,psu_bootstrap_sd,psu_ci_low,psu_ci_high,household_ci_width,psu_ci_width,psu_to_household_width_ratio
HRS,conditional_recovery_relapse,-0.808023636000096,-1.41765548877203,-0.333715561002958,0.273364228508754,-0.797202826731387,0.177006920954276,-1.15335346591481,-0.473050775811871,1.08393992776907,0.680302690102939,0.627620288426052
HRS,population_contribution_initial_state,-1.18067886930526,-1.4703264193166,-0.893675469508634,0.148518365857753,-1.17988741032643,0.118552387808623,-1.42504220277045,-0.95164300349059,0.576650949807966,0.473399199279863,0.820945841565878
HRS,population_contribution_onset,-1.29781612820792,-1.84951621315267,-0.746676059695252,0.272380000566205,-1.28155636244307,0.187016025951789,-1.66162205763896,-0.922652137265468,1.10284015345742,0.738969920373491,0.670060768151043
HRS,population_contribution_recovery,-0.843749179325583,-1.46592495087963,-0.272502616041528,0.296105694261819,-0.83898124885969,0.232868876031813,-1.27349932610476,-0.397081702280857,1.1934223348381,0.876417623823901,0.734373405155681
HRS,population_contribution_relapse,-0.25917380642043,-0.676029702386636,0.151772070279766,0.201304117926003,-0.252002098390896,0.139009923220467,-0.521456844309517,0.0226502121951372,0.827801772666402,0.544107056504655,0.657291485076254
HRS,population_contribution_post_difficulty_mortality,-0.200763204644677,-0.525093049253562,0.086765428627807,0.146926514539886,-0.198457687984117,0.0864721756409876,-0.367906112226106,-0.035189172534865,0.611858477881369,0.332716939691241,0.543780876982063
HRS,population_contribution_pre_difficulty_mortality,-0.781220018122411,-1.11090368112435,-0.354368031729034,0.191494292128893,-0.769409244335384,0.134350428754289,-0.997045249186236,-0.497694115576427,0.756535649395316,0.499351133609809,0.66004970685642
HRS,conditional_contribution_onset,-1.70484485848213,-2.41130921401254,-0.997653706001705,0.358516645605939,-1.6906518362253,0.238678297948502,-2.17560014948796,-1.22419145528263,1.41365550801083,0.951408694205332,0.673013113034919
HRS,conditional_contribution_recovery,-0.622809546944917,-1.0888715782982,-0.200142501898201,0.221974864235829,-0.618472924982604,0.17695701940648,-0.949491677606455,-0.289754212261678,0.888729076399999,0.659737465344776,0.742338112776949
HRS,conditional_contribution_relapse,-0.185214089055179,-0.487641975330608,0.107710091527598,0.144067374983115,-0.178729901748783,0.0979196801018358,-0.36796063481447,0.0163691986963028,0.595352066858206,0.384329833510773,0.645550515242114
HRS,conditional_contribution_post_difficulty_mortality,-0.150429719749275,-0.395562057327029,0.0652743687526758,0.110323502252775,-0.148178883052153,0.0647698268958659,-0.274430273970235,-0.0268160570575545,0.460836426079705,0.24761421691268,0.537314767018555
HRS,conditional_contribution_pre_difficulty_mortality,-1.02096267221176,-1.45864758134598,-0.467734584831458,0.25071306642834,-1.0103194481256,0.175694938307307,-1.31317536250012,-0.654516815809281,0.990912996514522,0.658658546690835,0.664698665783603
HRS,hazard_ratio_onset,1.44441561808791,1.24051798206269,1.67601895515454,0.10944949390902,1.44211275217388,0.0726472682739895,1.30322871523449,1.58762987183013,0.43550097309185,0.284401156595639,0.653043676519312
HRS,hazard_ratio_recovery,0.727138664239629,0.582064450205523,0.899561562622253,0.0796641441594584,0.731413993359144,0.0641065850086961,0.616729808335763,0.859107843202032,0.31749711241673,0.242378034866269,0.763402328359246
HRS,hazard_ratio_relapse,1.15193098626611,0.917919101454149,1.44711819213333,0.127565685699735,1.15018916030559,0.0866593485865674,0.987513024853168,1.32665288834038,0.529199090679181,0.33913986348721,0.640854962641666
HRS,hazard_ratio_death_pre,1.58808686690401,1.22373227051018,1.9569782184612,0.189772327207074,1.58638334549166,0.131621514435992,1.33535725278436,1.83991704440633,0.73324594795102,0.504559791621967,0.688118076931632
HRS,hazard_ratio_death_post,1.12970036908702,0.952849712369771,1.38054602159459,0.103387042787704,1.13031669657181,0.0606238302748223,1.02103302352515,1.25527770481468,0.427696309224819,0.234244681289529,0.547689274462263
