age,origin_state,destination,annual_probability,cohort,exposure,ses
73,D1,I0,0,CHARLS,education,high
73,R1,I0,0,CHARLS,education,high
73,D2,I0,0,CHARLS,education,high
73,DEAD,I0,0,CHARLS,education,high
73,I0,D1,0.0353633348328223,CHARLS,education,high
73,D1,D1,0.808345544807107,CHARLS,education,high
73,R1,D1,0,CHARLS,education,high
73,D2,D1,0,CHARLS,education,high
73,DEAD,D1,0,CHARLS,education,high
73,I0,R1,0,CHARLS,education,high
73,D1,R1,0.146228925422053,CHARLS,education,high
73,R1,R1,0.846198564510224,CHARLS,education,high
73,D2,R1,0.136462440989233,CHARLS,education,high
73,DEAD,R1,0,CHARLS,education,high
73,I0,D2,0,CHARLS,education,high
73,D1,D2,0,CHARLS,education,high
73,R1,D2,0.129296686744192,CHARLS,education,high
73,D2,D2,0.834768703376517,CHARLS,education,high
73,DEAD,D2,0,CHARLS,education,high
73,I0,DEAD,0.0145145879460438,CHARLS,education,high
73,D1,DEAD,0.0454255297708405,CHARLS,education,high
73,R1,DEAD,0.0245047487455842,CHARLS,education,high
73,D2,DEAD,0.0287688556342502,CHARLS,education,high
73,DEAD,DEAD,1,CHARLS,education,high
74,I0,I0,0.9476020982224,CHARLS,education,high
74,D1,I0,0,CHARLS,education,high
74,R1,I0,0,CHARLS,education,high
74,D2,I0,0,CHARLS,education,high
74,DEAD,I0,0,CHARLS,education,high
74,I0,D1,0.0367627073994094,CHARLS,education,high
74,D1,D1,0.809830979631052,CHARLS,education,high
74,R1,D1,0,CHARLS,education,high
74,D2,D1,0,CHARLS,education,high
74,DEAD,D1,0,CHARLS,education,high
74,I0,R1,0,CHARLS,education,high
74,D1,R1,0.139710238372178,CHARLS,education,high
74,R1,R1,0.839777118995561,CHARLS,education,high
74,D2,R1,0.130473812358487,CHARLS,education,high
74,DEAD,R1,0,CHARLS,education,high
74,I0,D2,0,CHARLS,education,high
74,D1,D2,0,CHARLS,education,high
74,R1,D2,0.133127494099236,CHARLS,education,high
74,D2,D2,0.837546470303498,CHARLS,education,high
74,DEAD,D2,0,CHARLS,education,high
74,I0,DEAD,0.0156351943781907,CHARLS,education,high
74,D1,DEAD,0.0504587819967705,CHARLS,education,high
74,R1,DEAD,0.0270953869052038,CHARLS,education,high
74,D2,DEAD,0.0319797173380155,CHARLS,education,high
74,DEAD,DEAD,1,CHARLS,education,high
75,I0,I0,0.944926304504499,CHARLS,education,high
75,D1,I0,0,CHARLS,education,high
75,R1,I0,0,CHARLS,education,high
75,D2,I0,0,CHARLS,education,high
75,DEAD,I0,0,CHARLS,education,high
75,I0,D1,0.038223979140184,CHARLS,education,high
75,D1,D1,0.810723917632584,CHARLS,education,high
75,R1,D1,0,CHARLS,education,high
75,D2,D1,0,CHARLS,education,high
75,DEAD,D1,0,CHARLS,education,high
75,I0,R1,0,CHARLS,education,high
75,D1,R1,0.133090354335246,CHARLS,education,high
75,R1,R1,0.833525620812377,CHARLS,education,high
75,D2,R1,0.124399173553773,CHARLS,education,high
75,DEAD,R1,0,CHARLS,education,high
75,I0,D2,0,CHARLS,education,high
75,D1,D2,0,CHARLS,education,high
75,R1,D2,0.136428884757632,CHARLS,education,high
75,D2,D2,0.839960664770812,CHARLS,education,high
75,DEAD,D2,0,CHARLS,education,high
75,I0,DEAD,0.0168497163553168,CHARLS,education,high
75,D1,DEAD,0.0561857280321696,CHARLS,education,high
75,R1,DEAD,0.030045494429991,CHARLS,education,high
75,D2,DEAD,0.0356401616754143,CHARLS,education,high
75,DEAD,DEAD,1,CHARLS,education,high
76,I0,I0,0.942038509686376,CHARLS,education,high
76,D1,I0,0,CHARLS,education,high
76,R1,I0,0,CHARLS,education,high
76,D2,I0,0,CHARLS,education,high
76,DEAD,I0,0,CHARLS,education,high
76,I0,D1,0.0397560655032271,CHARLS,education,high
76,D1,D1,0.810882085726867,CHARLS,education,high
76,R1,D1,0,CHARLS,education,high
76,D2,D1,0,CHARLS,education,high
76,DEAD,D1,0,CHARLS,education,high
76,I0,R1,0,CHARLS,education,high
76,D1,R1,0.126443252756415,CHARLS,education,high
76,R1,R1,0.82779447329368,CHARLS,education,high
76,D2,R1,0.118307148674472,CHARLS,education,high
76,DEAD,R1,0,CHARLS,education,high
76,I0,D2,0,CHARLS,education,high
76,D1,D2,0,CHARLS,education,high
76,R1,D2,0.138805059100463,CHARLS,education,high
76,D2,D2,0.841895876150891,CHARLS,education,high
76,DEAD,D2,0,CHARLS,education,high
76,I0,DEAD,0.0182054248103972,CHARLS,education,high
76,D1,DEAD,0.0626746615167184,CHARLS,education,high
76,R1,DEAD,0.0334004676058572,CHARLS,education,high
76,D2,DEAD,0.0397969751746369,CHARLS,education,high
76,DEAD,DEAD,1,CHARLS,education,high
77,I0,I0,0.938868337321166,CHARLS,education,high
77,D1,I0,0,CHARLS,education,high
77,R1,I0,0,CHARLS,education,high
77,D2,I0,0,CHARLS,education,high
77,DEAD,I0,0,CHARLS,education,high
77,I0,D1,0.0413686692428085,CHARLS,education,high
77,D1,D1,0.810170835120384,CHARLS,education,high
77,R1,D1,0,CHARLS,education,high
77,D2,D1,0,CHARLS,education,high
77,DEAD,D1,0,CHARLS,education,high
77,I0,R1,0,CHARLS,education,high
77,D1,R1,0.119835202288108,CHARLS,education,high
77,R1,R1,0.822937024154821,CHARLS,education,high
77,D2,R1,0.112258938494748,CHARLS,education,high
77,DEAD,R1,0,CHARLS,education,high
77,I0,D2,0,CHARLS,education,high
77,D1,D2,0,CHARLS,education,high
77,R1,D2,0.139852269877408,CHARLS,education,high
77,D2,D2,0.843243128480325,CHARLS,education,high
77,DEAD,D2,0,CHARLS,education,high
77,I0,DEAD,0.0197629934360251,CHARLS,education,high
77,D1,DEAD,0.0699939625915081,CHARLS,education,high
77,R1,DEAD,0.0372107059677712,CHARLS,education,high
77,D2,DEAD,0.0444979330249262,CHARLS,education,high
77,DEAD,DEAD,1,CHARLS,education,high
78,I0,I0,0.935327018851051,CHARLS,education,high
78,D1,I0,0,CHARLS,education,high
78,R1,I0,0,CHARLS,education,high
78,D2,I0,0,CHARLS,education,high
78,DEAD,I0,0,CHARLS,education,high
78,I0,D1,0.0430722403812464,CHARLS,education,high
78,D1,D1,0.808465957693291,CHARLS,education,high
78,R1,D1,0,CHARLS,education,high
78,D2,D1,0,CHARLS,education,high
78,DEAD,D1,0,CHARLS,education,high
78,I0,R1,0,CHARLS,education,high
78,D1,R1,0.113324509758065,CHARLS,education,high
78,R1,R1,0.81928183578119,CHARLS,education,high
78,D2,R1,0.106308104039311,CHARLS,education,high
78,DEAD,R1,0,CHARLS,education,high
78,I0,D2,0,CHARLS,education,high
78,D1,D2,0,CHARLS,education,high
78,R1,D2,0.139187064504235,CHARLS,education,high
78,D2,D2,0.843901571894051,CHARLS,education,high
78,DEAD,D2,0,CHARLS,education,high
78,I0,DEAD,0.0216007407677023,CHARLS,education,high
78,D1,DEAD,0.0782095325486441,CHARLS,education,high
78,R1,DEAD,0.0415310997145745,CHARLS,education,high
78,D2,DEAD,0.0497903240666381,CHARLS,education,high
78,DEAD,DEAD,1,CHARLS,education,high
79,I0,I0,0.931300978628647,CHARLS,education,high
79,D1,I0,0,CHARLS,education,high
79,R1,I0,0,CHARLS,education,high
79,D2,I0,0,CHARLS,education,high
79,DEAD,I0,0,CHARLS,education,high
79,I0,D1,0.0448778648045329,CHARLS,education,high
79,D1,D1,0.805656908067804,CHARLS,education,high
79,R1,D1,0,CHARLS,education,high
79,D2,D1,0,CHARLS,education,high
79,DEAD,D1,0,CHARLS,education,high
79,I0,R1,0,CHARLS,education,high
79,D1,R1,0.106961521078874,CHARLS,education,high
79,R1,R1,0.817097447741853,CHARLS,education,high
79,D2,R1,0.100500589088756,CHARLS,education,high
79,DEAD,R1,0,CHARLS,education,high
79,I0,D2,0,CHARLS,education,high
79,D1,D2,0,CHARLS,education,high
79,R1,D2,0.136482882337145,CHARLS,education,high
79,D2,D2,0.843780371091409,CHARLS,education,high
79,DEAD,D2,0,CHARLS,education,high
79,I0,DEAD,0.0238211565668199,CHARLS,education,high
79,D1,DEAD,0.0873815708533222,CHARLS,education,high
79,R1,DEAD,0.0464196699210025,CHARLS,education,high
79,D2,DEAD,0.0557190398198349,CHARLS,education,high
79,DEAD,DEAD,1,CHARLS,education,high
80,I0,I0,0.926642173296434,CHARLS,education,high
80,D1,I0,0,CHARLS,education,high
80,R1,I0,0,CHARLS,education,high
80,D2,I0,0,CHARLS,education,high
80,DEAD,I0,0,CHARLS,education,high
80,I0,D1,0.0467970296328429,CHARLS,education,high
80,D1,D1,0.801650476448157,CHARLS,education,high
80,R1,D1,0,CHARLS,education,high
80,D2,D1,0,CHARLS,education,high
80,DEAD,D1,0,CHARLS,education,high
80,I0,R1,0,CHARLS,education,high
80,D1,R1,0.100788839056792,CHARLS,education,high
80,R1,R1,0.816552843205129,CHARLS,education,high
80,D2,R1,0.0948749476476922,CHARLS,education,high
80,DEAD,R1,0,CHARLS,education,high
80,I0,D2,0,CHARLS,education,high
80,D1,D2,0,CHARLS,education,high
80,R1,D2,0.131512140610743,CHARLS,education,high
80,D2,D2,0.842800856424001,CHARLS,education,high
