cohort,phase,replicate,seed,exposure,status,error_message,unique_sampled_people,elapsed_seconds_replicate_exposure
MHAS,final,171,451171,education,valid,"",9574,3.42000000000007
MHAS,final,171,451171,wealth,valid,"",9574,6.92000000000007
MHAS,final,172,451172,education,valid,"",9543,3.31999999999994
MHAS,final,172,451172,wealth,valid,"",9543,6.69000000000006
MHAS,final,173,451173,education,valid,"",9577,3.32000000000016
MHAS,final,173,451173,wealth,valid,"",9577,6.68000000000006
MHAS,final,174,451174,education,valid,"",9529,3.33999999999992
MHAS,final,174,451174,wealth,valid,"",9529,6.75
MHAS,final,175,451175,education,valid,"",9526,3.42000000000007
MHAS,final,175,451175,wealth,valid,"",9526,6.82999999999993
MHAS,final,176,451176,education,valid,"",9570,3.33999999999992
MHAS,final,176,451176,wealth,valid,"",9570,6.73000000000002
MHAS,final,177,451177,education,valid,"",9645,3.45999999999981
MHAS,final,177,451177,wealth,valid,"",9645,6.95999999999981
MHAS,final,178,451178,education,valid,"",9541,3.25
MHAS,final,178,451178,wealth,valid,"",9541,6.45000000000005
MHAS,final,179,451179,education,valid,"",9571,3.47000000000003
MHAS,final,179,451179,wealth,valid,"",9571,7.47000000000003
MHAS,final,180,451180,education,valid,"",9576,3.43999999999983
MHAS,final,180,451180,wealth,valid,"",9576,6.7199999999998
MHAS,final,181,451181,education,valid,"",9636,3.30999999999995
MHAS,final,181,451181,wealth,valid,"",9636,6.58999999999992
MHAS,final,182,451182,education,valid,"",9577,3.25
MHAS,final,182,451182,wealth,valid,"",9577,6.88999999999987
MHAS,final,183,451183,education,valid,"",9586,4.19000000000005
MHAS,final,183,451183,wealth,valid,"",9586,7.68000000000006
MHAS,final,184,451184,education,valid,"",9535,3.38000000000011
MHAS,final,184,451184,wealth,valid,"",9535,6.69000000000006
MHAS,final,185,451185,education,valid,"",9715,3.28999999999996
MHAS,final,185,451185,wealth,valid,"",9715,6.6400000000001
MHAS,final,186,451186,education,valid,"",9512,3.30000000000018
MHAS,final,186,451186,wealth,valid,"",9512,6.59000000000015
MHAS,final,187,451187,education,valid,"",9548,3.26999999999998
MHAS,final,187,451187,wealth,valid,"",9548,6.51999999999998
MHAS,final,188,451188,education,valid,"",9518,3.28999999999996
MHAS,final,188,451188,wealth,valid,"",9518,6.64999999999986
MHAS,final,189,451189,education,valid,"",9590,3.31999999999994
MHAS,final,189,451189,wealth,valid,"",9590,6.6099999999999
MHAS,final,190,451190,education,valid,"",9622,3.39999999999986
MHAS,final,190,451190,wealth,valid,"",9622,6.75
MHAS,final,191,451191,education,valid,"",9521,3.27999999999997
MHAS,final,191,451191,wealth,valid,"",9521,6.54999999999996
MHAS,final,192,451192,education,valid,"",9613,3.23000000000002
MHAS,final,192,451192,wealth,valid,"",9613,6.52999999999997
MHAS,final,193,451193,education,valid,"",9573,3.27999999999997
MHAS,final,193,451193,wealth,valid,"",9573,6.57999999999993
MHAS,final,194,451194,education,valid,"",9577,3.27999999999997
MHAS,final,194,451194,wealth,valid,"",9577,6.72000000000003
MHAS,final,195,451195,education,valid,"",9640,3.25999999999999
MHAS,final,195,451195,wealth,valid,"",9640,6.55999999999995
MHAS,final,196,451196,education,valid,"",9609,3.43999999999983
MHAS,final,196,451196,wealth,valid,"",9609,6.80999999999995
MHAS,final,197,451197,education,valid,"",9585,3.33000000000015
MHAS,final,197,451197,wealth,valid,"",9585,6.66000000000008
MHAS,final,198,451198,education,valid,"",9640,3.20000000000005
MHAS,final,198,451198,wealth,valid,"",9640,6.67000000000007
MHAS,final,199,451199,education,valid,"",9639,3.88999999999987
MHAS,final,199,451199,wealth,valid,"",9639,7.18999999999983
MHAS,final,200,451200,education,valid,"",9579,3.32999999999993
MHAS,final,200,451200,wealth,valid,"",9579,6.74000000000001
MHAS,final,201,451201,education,valid,"",9564,3.25
MHAS,final,201,451201,wealth,valid,"",9564,6.49000000000001
MHAS,final,202,451202,education,valid,"",9530,3.28999999999996
MHAS,final,202,451202,wealth,valid,"",9530,6.56999999999994
MHAS,final,203,451203,education,valid,"",9612,3.29999999999995
MHAS,final,203,451203,wealth,valid,"",9612,6.54999999999996
MHAS,final,204,451204,education,valid,"",9634,3.25999999999999
MHAS,final,204,451204,wealth,valid,"",9634,6.52999999999997
MHAS,final,205,451205,education,valid,"",9601,3.21000000000004
MHAS,final,205,451205,wealth,valid,"",9601,6.5
MHAS,final,206,451206,education,valid,"",9622,3.30000000000018
MHAS,final,206,451206,wealth,valid,"",9622,6.6400000000001
MHAS,final,207,451207,education,valid,"",9615,3.28999999999996
MHAS,final,207,451207,wealth,valid,"",9615,6.75
MHAS,final,208,451208,education,valid,"",9589,3.28999999999996
MHAS,final,208,451208,wealth,valid,"",9589,6.57999999999993
MHAS,final,209,451209,education,valid,"",9580,3.25
MHAS,final,209,451209,wealth,valid,"",9580,6.47000000000003
MHAS,final,210,451210,education,valid,"",9619,3.34000000000015
MHAS,final,210,451210,wealth,valid,"",9619,6.62000000000012
MHAS,final,211,451211,education,valid,"",9593,3.29999999999995
MHAS,final,211,451211,wealth,valid,"",9593,6.6400000000001
MHAS,final,212,451212,education,valid,"",9655,3.8900000000001
MHAS,final,212,451212,wealth,valid,"",9655,7.53999999999996
MHAS,final,213,451213,education,valid,"",9611,3.75
MHAS,final,213,451213,wealth,valid,"",9611,7.45000000000005
MHAS,final,214,451214,education,valid,"",9659,3.76999999999998
MHAS,final,214,451214,wealth,valid,"",9659,7.66000000000008
MHAS,final,215,451215,education,valid,"",9560,3.5
MHAS,final,215,451215,wealth,valid,"",9560,6.96000000000004
MHAS,final,216,451216,education,valid,"",9623,3.43000000000006
MHAS,final,216,451216,wealth,valid,"",9623,6.8599999999999
MHAS,final,217,451217,education,valid,"",9517,3.32999999999993
MHAS,final,217,451217,wealth,valid,"",9517,6.63999999999987
MHAS,final,218,451218,education,valid,"",9561,3.25
MHAS,final,218,451218,wealth,valid,"",9561,6.66999999999985
MHAS,final,219,451219,education,valid,"",9524,3.09999999999991
MHAS,final,219,451219,wealth,valid,"",9524,6.27999999999997
MHAS,final,220,451220,education,valid,"",9585,3.39999999999986
MHAS,final,220,451220,wealth,valid,"",9585,6.73000000000002
MHAS,final,221,451221,education,valid,"",9631,3.30999999999995
MHAS,final,221,451221,wealth,valid,"",9631,6.67000000000007
MHAS,final,222,451222,education,valid,"",9593,3.26999999999998
MHAS,final,222,451222,wealth,valid,"",9593,6.69000000000006
MHAS,final,223,451223,education,valid,"",9663,3.91999999999985
MHAS,final,223,451223,wealth,valid,"",9663,7.69999999999982
MHAS,final,224,451224,education,valid,"",9487,4.23000000000002
MHAS,final,224,451224,wealth,valid,"",9487,8.03999999999996
MHAS,final,225,451225,education,valid,"",9553,3.6099999999999
MHAS,final,225,451225,wealth,valid,"",9553,7.02999999999997
MHAS,final,226,451226,education,valid,"",9581,3.32000000000016
MHAS,final,226,451226,wealth,valid,"",9581,6.79999999999996
MHAS,final,227,451227,education,valid,"",9511,3.37999999999988
MHAS,final,227,451227,wealth,valid,"",9511,6.70000000000005
