cohort,exposure,process,term,estimate,std_error_model,statistic,p_value_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model
ELSA,wealth,death_post,period_factor3,-0.135834076741648,0.118085343796062,-1.15030428311442,0.250018567342604,0.872987469397904,0.692614750065785,1.10033336952955
ELSA,wealth,death_post,period_factor4,-0.0151524817368324,0.116017454397513,-0.13060519053379,0.896087636450715,0.984961739475217,0.784627110635053,1.23644673384385
ELSA,wealth,death_post,period_factor5,-0.219988344978313,0.124547696608358,-1.76629798036386,0.0773458702573851,0.80252815139098,0.628699530526263,1.02441850598474
ELSA,wealth,death_post,proxy_factorself,-0.754409520972273,0.108346650293931,-6.96292427062263,3.33281000620252e-12,0.470288228095714,0.380309853130017,0.581554791875967
MHAS,education,onset,(Intercept),-4.87787790436693,0.17530386940559,-27.8252723166155,2.14588614900921e-170,0.00761315273575452,0.00539936735691604,0.0107346084729141
MHAS,education,onset,sesmiddle,-0.0524241521981177,0.298604749148899,-0.175563691962503,0.860636728846772,0.948926292299756,0.528512162585435,1.70376610410021
MHAS,education,onset,seslow,0.935238886990686,0.149829021350277,6.24204095149393,4.31897832217714e-10,2.54782202658326,1.8994683004561,3.41748113279074
MHAS,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.33973862288527,0.122984073558332,10.8935944640818,1.23661138773681e-27,3.81804542523721,3.00023265914974,4.85878014317265
MHAS,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",2.01822494767435,0.204421620577865,9.87285465191584,5.45885326243315e-23,7.52495588135092,5.04076860446311,11.233398209579
MHAS,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",2.75834009094137,0.314262616612243,8.77718171087715,1.67622058618403e-18,15.7736384004257,8.51973606761024,29.2036826508374
MHAS,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",1.73694441003923,0.405106064399036,4.28762875375846,1.80590583967675e-05,5.67996124723126,2.56750991312777,12.5654664876238
MHAS,education,onset,sex_factormale,-0.506736007074168,0.0528201831632198,-9.5936056395015,8.50593860233157e-22,0.602458794351368,0.543207679089931,0.668172805471726
